PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Perry, George L. W.; O'Sullivan, David								Identifying Narrative Descriptions in Agent-Based Models Representing Past Human-Environment Interactions								JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY				25	3			795	817		10.1007/s10816-017-9355-x			SEP 2018	2018										0							WOS:000440035800006		
J	Moclan, Abel; Dominguez-Rodrigo, Manuel								An experimental study of the patterned nature of anthropogenic bone breakage and its impact on bone surface modification frequencies								JOURNAL OF ARCHAEOLOGICAL SCIENCE				96				1	13		10.1016/j.jas.2018.05.007			AUG 2018	2018										0							WOS:000442064300001		
J	Marado, Luis Miguel; Silva, Ana Maria								Dental and oral nonmetric traits in a Coimbra reference sample: testing intrasample chronological and spatial variation								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	5			1165	1177		10.1007/s12520-016-0455-4			AUG 2018	2018										0							WOS:000440309100012		
J	Pobiner, Briana L.; Higson, Charles P.; Kovarovic, Kris; Kaplan, Robert S.; Rogers, Jacklyn; Schindler, William, III								Experimental butchery study investigating the influence of timing of access and butcher expertise on cut mark variables								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	4			377	387		10.1002/oa.2661			JUL-AUG 2018	2018										0							WOS:000440923800001		
J	Tomczyk, J.; Myszka, A.; Borowska-Struginska, B.; Zalewska, M.; Turska-Szybka, A.; Olczak-Kowalczyk, D.								Periodontitis in the historical population of Radom (Poland) from the 11th to 19th centuries								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	4			397	406		10.1002/oa.2664			JUL-AUG 2018	2018										0							WOS:000440923800003		
J	Johnson, Emily, V; Timpson, Adrian; Thomas, Mark G.; Outram, Alan K.								Reduced intensity of bone fat exploitation correlates with increased potential access to dairy fats in early Neolithic Europe								JOURNAL OF ARCHAEOLOGICAL SCIENCE				94				60	69		10.1016/j.jas.2018.04.001			JUN 2018	2018										0							WOS:000434903100007		
J	Delgado, Miguel								Stable isotope evidence for dietary and cultural change over the Holocene at the Sabana de Bogota region, Northern South America								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	4			817	832		10.1007/s12520-016-0403-3			JUN 2018	2018										0							WOS:000431795200007		
J	Bouby, L.; Bonhomme, V.; Ivorra, S.; Pastor, T.; Rovira, N.; Tillier, M.; Pagnoux, C.; Terral, J. F.								Back from burn out: are experimentally charred grapevine pips too distorted to be characterized using morphometrics?								ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES				10	4			943	954		10.1007/s12520-016-0425-x			JUN 2018	2018										1							WOS:000431795200015		
J	Godde, K.; Taylor, R. J. Wilson; Gutierrez, C.								Entheseal changes and demographic/health indicators in the upper extremity of modern Americans: Associations with age and physical activity								INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY				28	3			285	293		10.1002/oa.2653			MAY-JUN 2018	2018										0							WOS:000435274600007		
J	Contreras, Daniel; Guiot, Joel; Suarez, Romain; Kirman, Alan								Reaching the human scale: A spatial and temporal downscaling approach to the archaeological implications of paleoclimate data								JOURNAL OF ARCHAEOLOGICAL SCIENCE				93				54	67		10.1016/j.jas.2018.02.013			MAY 2018	2018										0							WOS:000432502400005		
J	Angourakis, Andreas; Martinez Ferreras, Veronica; Torrano, Alexis; Gurt Esparraguera, Josep M.								Presenting multivariate statistical protocols in R using Roman wine amphorae productions in Catalonia, Spain								JOURNAL OF ARCHAEOLOGICAL SCIENCE				93				150	165		10.1016/j.jas.2018.03.007			MAY 2018	2018										0							WOS:000432502400013		
J	Zimmermann, Michaela I.; Poellath, Nadja; Ozbasaran, Mihriban; Peters, Joris								Joint health in free-ranging and confined small bovids - Implications for early stage caprine management								JOURNAL OF ARCHAEOLOGICAL SCIENCE				92				13	27		10.1016/j.jas.2018.02.004			APR 2018	2018										0							WOS:000429764600002		
