PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Costea, Marioara; Tausan, Ioan								Land degradation due to erosion in public perception. Case study: Secawl Mare river basin settlements (Transylvanian Depression, Romania)								ENVIRONMENTAL MONITORING AND ASSESSMENT				188	4					UNSP 219	10.1007/s10661-016-5200-z			APR 2016	2016										0							WOS:000372750100018		
J	da Silva, Joseane Balan; Piva, Camila; Falavigna-Guilherme, Ana Lucia; Rossoni, Diogo Francisco; de Ornelas Toledo, Max Jean								Spatial distribution and enteroparasite contamination in peridomiciliar soil and water in the Apucaraninha Indigenous Land, southern Brazil								ENVIRONMENTAL MONITORING AND ASSESSMENT				188	4					UNSP 217	10.1007/s10661-016-5216-4			APR 2016	2016										0							WOS:000372750100016		
J	Roberge, Cornelia; Wulff, Soren; Reese, Heather; Stahl, Goran								Improving the precision of sample-based forest damage inventories through two-phase sampling and post-stratification using remotely sensed auxiliary information								ENVIRONMENTAL MONITORING AND ASSESSMENT				188	4					UNSP 213	10.1007/s10661-016-5208-4			APR 2016	2016										5							WOS:000372750100012		
J	Roubeix, Vincent; Danis, Pierre-Alain; Feret, Thibaut; Baudoin, Jean-Marc								Identification of ecological thresholds from variations in phytoplankton communities among lakes: contribution to the definition of environmental standards								ENVIRONMENTAL MONITORING AND ASSESSMENT				188	4						10.1007/s10661-016-5238-y			APR 2016	2016										2							WOS:000372750100045		
J	Ukonmaanaho, Liisa; Starr, Mike; Kantola, Marjatta; Lauren, Ari; Piispanen, Juha; Pietila, Heidi; Peramaki, Paavo; Merila, Paivi; Fritze, Hannu; Tuomivirta, Tero; Heikkinen, Juha; Makinen, Jari; Nieminen, Tiina M.								Impacts of forest harvesting on mobilization of Hg and MeHg in drained peatland forests on black schist or felsic bedrock								ENVIRONMENTAL MONITORING AND ASSESSMENT				188	4					UNSP 228	10.1007/s10661-016-5210-x			APR 2016	2016										5							WOS:000372750100027		
J	Tran, Lucy A. P.								Interaction between Digestive Strategy and Niche Specialization Predicts Speciation Rates across Herbivorous Mammals								AMERICAN NATURALIST				187	4			468	480		10.1086/685094			APR 2016	2016										2							WOS:000373127000010		
J	Vickers, Mathew; Schwarzkopf, Lin								A Random Walk in the Park: An Individual-Based Null Model for Behavioral Thermoregulation								AMERICAN NATURALIST				187	4			481	490		10.1086/685433			APR 2016	2016										3							WOS:000373127000011		
J	Weadick, Cameron J.; Sommer, Ralf J.								Mating System Transitions Drive Life Span Evolution in Pristionchus Nematodes								AMERICAN NATURALIST				187	4			517	531		10.1086/685283			APR 2016	2016										7							WOS:000373127000014		
J	Volf, Martin; Redmond, Conor; Albert, Agnes J.; Le Bagousse-Pinguet, Yoann; Biella, Paolo; Goetzenberger, Lars; Hrazsky, Zaboj; Janecek, Stepan; Klimesova, Jitka; Leps, Jan; Sebelikova, Lenka; Vlasata, Tereza; de Bello, Francesco								Effects of long- and short-term management on the functional structure of meadows through species turnover and intraspecific trait variability								OECOLOGIA				180	4			941	950		10.1007/s00442-016-3548-y			APR 2016	2016										11							WOS:000373186100004		
J	Fajardo, Alex; Siefert, Andrew								Phenological variation of leaf functional traits within species								OECOLOGIA				180	4			951	959		10.1007/s00442-016-3545-1			APR 2016	2016										13							WOS:000373186100005		
J	Chacon-Labella, Julia; de la Cruz, Marcelino; Pescador, David S.; Escudero, Adrian								Individual species affect plant traits structure in their surroundings: evidence of functional mechanisms of assembly								OECOLOGIA				180	4			975	987		10.1007/s00442-016-3547-z			APR 2016	2016										8							WOS:000373186100007		
