PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Rajani, Mandyam B.; Patra, Sumanta K.; Verma, Mamta								Space observation for generating 3D perspective views and its implication to the study of the archaeological site of Badami in India								JOURNAL OF CULTURAL HERITAGE				10				E20	E26		10.1016/j.culher.2009.08.003			DEC 2009	2009										8							WOS:000208117000004		
J	Salonia, Paolo; Scolastico, Serena; Pozzi, Andrea; Marcolongo, Andrea; Messina, Tommaso Leti								Multi-scale cultural heritage survey: Quick digital photogrammetric systems								JOURNAL OF CULTURAL HERITAGE				10				E59	E64		10.1016/j.culher.2009.09.004			DEC 2009	2009										9							WOS:000208117000009		
J	Soldovieri, Francesco; Orlando, Luciana								Novel tomographic based approach and processing strategies for GPR measurements using multifrequency antennas								JOURNAL OF CULTURAL HERITAGE				10				E83	E92		10.1016/j.culher.2009.09.001			DEC 2009	2009										9							WOS:000208117000013		
J	Doelman, Trudy; Torrence, Robin; Kluyev, Nikolay; Sleptsov, Igor; Popov, Vladimir								Innovations in Microblade Core Production at the Tigrovy-8 Late Palaeolithic Quarry in Eastern Russia								JOURNAL OF FIELD ARCHAEOLOGY				34	4			367	384		10.1179/009346909791070781			WIN 2009	2009										2							WOS:000274696200001		
J	Johnston, Susan A.; Campana, Douglas; Crabtree, Pam								A Geophysical Survey at Dun Ailinne, County Kildare, Ireland								JOURNAL OF FIELD ARCHAEOLOGY				34	4			385	402		10.1179/009346909791070763			WIN 2009	2009										5							WOS:000274696200002		
J	Rice, Prudence M.								Mound ZZ1, Nixtun-Ch'ich', Peten, Guatemala: Rescue Operations at a Long-Lived Structure in the Maya Lowlands								JOURNAL OF FIELD ARCHAEOLOGY				34	4			403	422		10.1179/009346909791070772			WIN 2009	2009										9							WOS:000274696200003		
J	Ross, Shawn A.; Sobotkova, Adela; Burgers, Gert-Jan								Remote Sensing and Archaeological Prospection in Apulia, Italy								JOURNAL OF FIELD ARCHAEOLOGY				34	4			423	437		10.1179/009346909791070826			WIN 2009	2009										2							WOS:000274696200004		
J	Thompson, Victor D.; Arnold, Philip J., III; VanDerwarker, Amber M.								Geophysical Investigations at Teotepec, Mexico (1000 BC-AD 1000)								JOURNAL OF FIELD ARCHAEOLOGY				34	4			439	455		10.1179/009346909791070808			WIN 2009	2009										6							WOS:000274696200005		
J	Elkins, Nathan T.								Treasure Hunting 101 in America's Classrooms								JOURNAL OF FIELD ARCHAEOLOGY				34	4			482	489		10.1179/009346909791070790			WIN 2009	2009										1							WOS:000274696200008		
J	Langouet, Loic; Daire, Marie-Yvane								Ancient Maritime Fish-Traps of Brittany (France): A Reappraisal of the Relationship Between Human and Coastal Environment During the Holocene								JOURNAL OF MARITIME ARCHAEOLOGY				4	2			131	148		10.1007/s11457-009-9053-2			DEC 2009	2009										8							WOS:000271735100003		
